6400;combined;79698;145252;4567;6400;dp_quick;96286;34034;2482;6400;insertion;10339251;10345659;255237;6400;merge;72939;162816;8616;6400;quick;91402;46675;2619
6500;combined;81271;147772;4655;6500;dp_quick;96386;35602;2516;6500;insertion;10577809;10584317;260514;6500;merge;74195;165616;8645;6500;quick;100027;52672;2852
6600;combined;83236;150825;4742;6600;dp_quick;103588;42000;2773;6600;insertion;10881024;10887636;268307;6600;merge;75515;168416;8751;6600;quick;99264;49207;2798
6700;combined;84729;153314;4813;6700;dp_quick;99266;35184;2567;6700;insertion;11236010;11242719;276795;6700;merge;76867;171216;8909;6700;quick;98235;47958;2758
6800;combined;86252;155802;4839;6800;dp_quick;98699;38392;2644;6800;insertion;11695311;11702119;288845;6800;merge;78128;174016;9037;6800;quick;98668;45337;2726
6900;combined;87975;158574;4940;6900;dp_quick;96476;35532;2576;6900;insertion;11791124;11798033;290242;6900;merge;79445;176816;9159;6900;quick;105819;49297;2890
7000;combined;89408;161012;5015;7000;dp_quick;108961;37511;2754;7000;insertion;12160422;12167427;301569;7000;merge;80710;179616;9302;7000;quick;107182;50872;2951
7100;combined;91262;163866;5102;7100;dp_quick;98765;38905;2684;7100;insertion;12639261;12646366;312209;7100;merge;81911;182416;9477;7100;quick;112559;63617;3271
7200;combined;93110;166673;5173;7200;dp_quick;105963;39200;2788;7200;insertion;12940329;12947538;318952;7200;merge;83205;185216;9613;7200;quick;101404;45389;2809
7300;combined;94645;169252;5205;7300;dp_quick;122026;38902;2940;7300;insertion;13423089;13430392;330654;7300;merge;84622;188016;9714;7300;quick;115312;48241;3023
7400;combined;96073;171687;5266;7400;dp_quick;112043;36440;2800;7400;insertion;13642730;13650139;336830;7400;merge;85884;190816;9832;7400;quick;118446;52218;3142
7500;combined;98096;174721;5367;7500;dp_quick;124743;39104;3024;7500;insertion;14080777;14088280;346908;7500;merge;87209;193616;9979;7500;quick;124071;54482;3277
7600;combined;99805;177453;5447;7600;dp_quick;111104;42129;2952;7600;insertion;14297417;14305025;351966;7600;merge;88504;196416;10122;7600;quick;117434;55546;3233
7700;combined;101419;180036;5531;7700;dp_quick;109686;41464;2926;7700;insertion;15031502;15039213;371248;7700;merge;89793;199216;10270;7700;quick;114758;54936;3198
7800;combined;103354;183009;5555;7800;dp_quick;118240;41516;3013;7800;insertion;15287381;15295191;376453;7800;merge;91073;202016;10397;7800;quick;119405;62215;3407
7900;combined;105049;185678;5633;7900;dp_quick;118389;43636;3095;7900;insertion;15664805;15672714;386709;7900;merge;92389;204816;10506;7900;quick;120978;63739;3452
8000;combined;105986;187639;5708;8000;dp_quick;122012;45311;3228;8000;insertion;16163789;16171798;397967;8000;merge;93715;207616;10639;8000;quick;125847;52694;3303
